name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
Surf Excel Stain Eraser,1800,0,1,1800,150,FALSE,150
Colin Glass and Surface Cleaner Liquid Spray Regular,9600,7,6,8900,500,FALSE,500
A1 Biodegradable Garbage Dustbin Bags,6900,0,6,6900,30,FALSE,30
"Mortein Cockroach Killer Spray, Crawling insect killer with Deep-Reach Nozzle",18900,5,2,17900,425,FALSE,425
Pril Perfect Lime Dishwash Liquid,19000,7,4,17500,750,FALSE,750
Dettol Antiseptic Disinfectant Liquid,6600,0,6,6600,125,FALSE,125
Godrej Aer Power Pocket Berry Rush,5500,0,3,5500,10,FALSE,10
Hit Cockroach Killer Spray ,10100,2,4,9800,200,FALSE,200
Vim Dishwash Liquid Gel Lemon,18500,5,1,17500,750,FALSE,750
"Harpic Disinfectant Toilet Cleaner Liquid, Original - 1 L",17800,0,6,17800,1000,FALSE,1
Odomos Mosquito Repellent Cream ,5000,8,6,4600,50,FALSE,50
Harpic Disinfectant Bathroom Cleaner Liquid Lemon,18900,5,6,17900,1000,FALSE,1
Eveready AA pack of 10 ,15000,4,6,14300,580,FALSE,10
Cherry Blossom Liquid Wax Polish,9800,5,6,9300,75,FALSE,75
Gala Scrubber Cleaner Home Everyday Scrub,3500,2,6,3400,58,FALSE,1
Hit Flower Lime Fragrance Insect Killer Spray,18200,3,6,17600,400,FALSE,400
Harpic Hygienic Toilet Cleaner Rim Block Jasmine,8200,6,4,7700,26,FALSE,26
Om Bhakti - Pancha Deepa Oil ,19900,10,6,17900,1000,FALSE,1
Ariel Complete Detergent Washing Powder 500 g  + 200 g Free,13500,0,6,13500,500,FALSE,500
Surf Excel Matic Top Load Detergent Powder,20000,6,1,18800,1000,FALSE,1
Harpic Flushmatic In-Cistern Toilet Cleaner Blocks Marine,15400,7,4,14300,100,FALSE,100
Eveready 1012 Carbon Zinc AAA Battery,15000,4,2,14300,580,FALSE,10
Surf Excel Matic Front Load Detergent Liquid,22500,1,6,22100,1000,FALSE,1
Origami Kitchen Towels 2 In 1 Quilted 2ply,14000,10,6,12600,116,FALSE,2
Oxi Green Phenyl - Pine ,8200,9,6,7400,1000,FALSE,1
Surf Excel Easy Wash Detergent Liquid,17000,0,6,16900,1000,FALSE,1
Uno Playing Card Game,14900,9,2,13500,58,FALSE,1
Chakaachak Mini Cloth Brush,4000,2,1,3900,58,FALSE,1
Chakaachak Super Scrub Pad (Pack of 3),3500,2,2,3400,174,FALSE,3
Colin Glass and Surface Cleaner Liquid Spray Regular,6200,6,5,5800,250,FALSE,250
Om Bhakti Cow Dung Cakes ,1600,0,6,1600,290,FALSE,5
Dettol Antiseptic Liquid,3300,0,4,3300,60,FALSE,60
Harpic Hygienic Toilet Cleaner Rim Block Citrus,8200,6,6,7700,26,FALSE,26
Eveready Ultima Alkaline AA Cell Battery-6 Pc Pack,21000,10,6,18900,348,FALSE,6
Mangaldeep Rose Puja Agarbatti ,6500,9,4,5900,120,FALSE,120
Ariel Matic Top Load Detergent Washing Powder,22500,0,6,22500,1000,FALSE,1
