name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
Mother Dairy Toned Milk Pouch,2500,0,4,2500,500,FALSE,500
Mother Dairy Classic Curd,3000,3,6,2900,400,FALSE,400
Mother Dairy Ultra Full Cream Milk,3100,0,4,3100,500,FALSE,500
Amul Butter - Pasteurised,5000,2,6,4900,100,FALSE,100
Britannia Sandwich White Bread,3300,0,4,3300,350,FALSE,350
iD Curd Pouch,3500,2,6,3400,400,FALSE,400
iD Idli & Dosa Batter ,8000,15,6,6800,1000,FALSE,1
Britannia 100% Whole Wheat Bread,4500,0,4,4500,450,FALSE,450
Britannia Healthy Slice Sandwich Bread,4000,0,4,4000,450,FALSE,450
Gowardhan Classic Block Fresh Paneer,8900,8,6,8100,200,FALSE,200
Amul Processed Cheese Cubes,10600,4,6,10100,200,FALSE,200
Britannia Pav,2200,0,4,2200,250,FALSE,250
Amul Butter - Pasteurised,24500,2,6,24000,500,FALSE,500
Arden Eggs White,9700,0,4,9700,696,FALSE,12
Arden Eggs White,6500,15,4,5500,348,FALSE,6
Nestle A+ Nourish Dahi,3500,2,6,3400,200,FALSE,200
Britannia Burger Bun with Sesame Seed,1500,0,4,1500,100,FALSE,100
Amul Frozen Malai Paneer,7500,2,6,7300,200,FALSE,200
iD Natural Paneer,10500,5,6,9900,200,FALSE,200
Britannia Fruit Bun,1700,0,3,1700,100,FALSE,100
Amul Cheese - Processed Slices,12200,1,6,12000,200,FALSE,200
iD Curd Cup,6000,0,6,6000,400,FALSE,400
The Bake Shop Premium White Sandwich Bread,3000,0,1,3000,400,FALSE,400
Britannia Multigrain Bread ,5500,0,4,5500,400,FALSE,400
Amul Processed Cheese Block,10600,0,6,10600,200,FALSE,200
Nestle A+ Nourish Dahi,7000,2,6,6800,400,FALSE,400
Arden Eggs Brown,8500,7,4,7900,348,FALSE,6
Epigamia Misti Doi,3000,0,6,3000,85,FALSE,85
Amul Cheese - Block,24500,2,6,24000,500,FALSE,500
Amul Butter - Pasteurised (School Pack),5900,3,6,5700,100,FALSE,100
Britannia Brown Bread ,4200,0,4,4200,400,FALSE,400
Amul Fresh Cream,19700,3,3,19100,1000,FALSE,1
Epigamia Natural Greek Yogurt,4500,0,6,4500,90,FALSE,90
The Bake Shop Pizza Base,3000,0,1,3000,150,FALSE,150
Amul Delicious Fat Spread - Cholesterol Free,1800,5,6,1700,100,FALSE,100
D'lecta Dairy Cream,5400,5,6,5100,200,FALSE,200
Nestle A+ Actiplus Probiotic Dahi Plain Curd,7800,3,5,7500,400,FALSE,400
Bio Nutrients Pure Diet Tofu Gold ,6000,5,5,5700,200,FALSE,200
Amul Delicious Fat Spread - Cholesterol Free,8800,2,2,8600,500,FALSE,500
Amul Mithai Mate Condensed Sweetened Milk,5600,3,4,5400,200,FALSE,200
Arden Desi Eggs,11000,13,4,9500,348,FALSE,6
