name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
Britannia Good Day Cashew Cookies,1000,0,6,1000,60,FALSE,58
Britannia 50-50 Maska Chaska Biscuits,3200,3,6,3100,120,FALSE,120
Dukes Waffy Chocolate Wafers,4500,51,4,2200,60,FALSE,75
Britannia Nutri Choice Digestive Biscuit,4500,0,1,4500,200,FALSE,150
Britannia Goodday Chocochip Cookies,12000,17,5,9900,400,FALSE,400
Britannia Good Day Pista Badam,4500,2,1,4400,200,FALSE,200
Cadbury Chocobakes Chocolate Filled Cookies ,3000,0,5,3000,75,FALSE,75
Dukes Waffy Strawberry Roll,15000,50,3,7500,250,FALSE,250
Parle Monaco Classic Salty Biscuits,7000,0,4,7000,400,FALSE,400
Dukes Waffy Orange Wafers,4500,51,5,2200,60,FALSE,75
Britannia Good Day Pista Badam,2000,0,6,2000,100,FALSE,100
Britannia Milk Bikis Biscuits Packet,2000,0,3,2000,200,FALSE,200
Britannia Toastea (Premium Bake Rusk),6500,0,6,6500,400,FALSE,400
Dukes Waffy Strawberry Wafers,4500,51,2,2200,60,FALSE,75
Britannia Toastea Premium Bake Rusk,3500,0,3,3500,182,FALSE,182
Lotte Choco Pie ,8000,10,3,7200,168,FALSE,168
Bauli Moonfils Choco Veg Puff Roll,1500,0,2,1500,45,FALSE,45
Sunfeast Dark Fantasy Choco Fills Cookies Packet,15000,15,3,12700,300,FALSE,300
Britannia 50-50 Maska Chaska Biscuit,7500,10,6,6750,300,FALSE,300
Britannnia 50-50 Sweet & Salty Biscuit,2500,0,4,2500,200,FALSE,200
Britannia Good Day Chunky Cookies,5000,15,6,4250,120,FALSE,120
Sunfeast Marie Light,2300,13,1,2000,200,FALSE,200
Britannia Bourbon Biscuit Buy 4 Get 1 Free,8000,10,2,7200,500,FALSE,500
The Bake Shop Whole Wheat Oats Khari,6500,6,5,6100,200,FALSE,200
Britannia Nutri Choice Oats Milk Almond Biscuit,2500,10,6,2250,75,FALSE,75
Sunfeast Dark Fantasy Choco Creme,8000,27,4,5800,300,FALSE,300
Lotte Choco Pie Chocolate Cake,2500,0,6,2500,56,FALSE,56
Sunfeast Mom's Magic Cashew & Almond Cookies Packet,3000,10,3,2700,200,FALSE,200
Unibic SugarFree - Oatmeal Cookies,5000,16,3,4200,75,FALSE,75
Parle Hide & Seek Cookies With Added Almonds,3000,3,1,2900,100,FALSE,100
Unibic Fruit & Nut Cookies,2500,8,3,2300,67,FALSE,67
Sunfeast Yumfills Whoopie Pie,14000,25,5,10500,253,FALSE,276
Britannia Toastea Premium Bake Rusk,11000,14,1,9400,700,FALSE,700
McVitie's Marie biscuits with Goodness of Calcium,3000,0,6,3000,250,FALSE,250
Britannia Treat Croissant Vanilla Creme Roll,2000,10,2,1800,47,FALSE,47
Unibic Honey Oatmeal Cookies,2500,8,6,2300,75,FALSE,75
Britannia Good Day Choco Chip Cookies,3000,3,6,2900,100,FALSE,100
The Bake Shop Masala Cheese Crackers,9500,6,3,8900,100,FALSE,100
Britannia Pure Magic Vanilla Creme Biscuit,3500,17,4,2900,100,FALSE,100
Open Secret Assorted Story Box,10500,22,4,8100,75,FALSE,75
Cadbury Oreo Dipped Biscuit,7000,10,1,6300,150,FALSE,150
Sunfeast Farmlite Oats & Almonds Biscuits Packet,6000,10,3,5400,150,FALSE,150
Unibic SugarFree - Butter Cookies,5000,16,6,4200,75,FALSE,75
Britannia Good Day Cashew Cookies Packet,12000,12,6,10560,600,FALSE,600
Dukes Sour & Cream Onion Nibbles Baked,5500,25,3,4100,150,FALSE,150
Britannia Treat Croissant Vanilla Creme Roll,2000,0,6,2000,47,FALSE,47
Parle Hide & Seek Choco Rolls,5000,2,4,4900,120,FALSE,120
Britannia Treat Creme Wafers - Vanilla,4500,11,6,4000,60,FALSE,1
Parle Rusk Elaichi,4800,2,6,4700,300,FALSE,300
Lotte Choco Pie ,14000,6,2,13100,336,FALSE,336
Sunfeast Mom's Magic Cashew & Almond Biscuits,12000,15,6,10200,600,FALSE,600
Unibic Cashew Cookies,2500,8,6,2300,75,FALSE,75
Parle Monaco Jeffs Zeera Biscuit,6000,10,4,5400,200,FALSE,200
"Unibic Snack Bar - Multigrain, Choco",4000,17,6,3300,30,FALSE,30
The Bake Shop Methi Khari Simply Delicious,6500,6,2,6100,200,FALSE,200
Britannia Treat Jimjam Family Pack (Buy 4 Get 1 Free),10000,0,6,10000,500,FALSE,500
Open Secret Choco Almond Tiffin Pack,3500,22,3,2700,25,FALSE,25
Lotte Choco Pie ,15000,20,6,12000,696,FALSE,12
Baker Street Suji Rusk Large Pack,3000,10,6,2700,200,FALSE,200
Parle Hide & Seek Choco Rolls,3000,0,1,3000,75,FALSE,75
Sunfeast Dark Fantasy Vanilla Creme,8000,15,6,6800,300,FALSE,300
Britannia Treat Burst Choco Creme Fills,3000,0,3,3000,120,FALSE,120
Parle Milano Mixed Berries Cookies,3500,2,3,3400,75,FALSE,75
Karachi Bakery Cashew Biscuits ,21000,5,4,19900,400,FALSE,400
Britannia Pure Magic Choco Lush Cookies,12000,20,4,9600,300,FALSE,300
Britannia Treart Creme Wafers Chocolate,4500,11,6,4000,60,FALSE,1
Unibic Daily Digestive (Multigrain Cookies),3000,6,6,2800,75,FALSE,75
Cadbury Chocobakes Choc Filled Cookies,6000,0,6,6000,150,FALSE,150
The Bake Shop Whole Wheat Multigrain Toast (Rusk),6000,6,2,5600,200,FALSE,200
Unibic Choco Kiss Cookies,4500,15,5,3800,75,FALSE,75
Britannia Treat Creme Wafers - Orange,4500,11,6,4000,60,FALSE,60
Bauli Moonfills Pack of 4,6000,10,6,5400,180,FALSE,190
Unibic Oatmeal Digestive Cookies ,5000,6,6,4700,150,FALSE,150
Orion Choco Pie - Chocolate Coated Soft Biscuit,15000,25,2,11200,336,FALSE,336
Britannia Good Day Cashew Cookies Pack Of 6,12000,10,6,10800,120,FALSE,120
Parle Fab Bourbon,3000,0,3,3000,150,FALSE,150
Open Secret White Choco Tiffin Pack,3500,22,1,2700,25,FALSE,25
The Bake Shop Whole Wheat Bread Sticks,6000,6,1,5600,100,FALSE,100
Unibic Assorted Cookies ,14900,8,6,13700,450,FALSE,450
The Bake Shop Milk & Raisin Toast (Rusk),6000,6,4,5600,200,FALSE,200
Lotte Choco Pie Cocoa Pie,9000,10,6,8100,168,FALSE,168
Bauli Moonfils Veg - Strawberry,1500,0,5,1500,45,FALSE,47
The Bake Shop Masala Lavash,7500,6,6,7000,100,FALSE,200
Britannia Good Day Nut Cookies,3000,0,6,3000,120,FALSE,120
Sunfeast Mom's Magic Rich Butter Cookies,3000,10,6,2700,200,FALSE,200
The Bake Shop Whole Wheat Toast (Rusk) ,6000,6,4,5600,200,FALSE,200
Open Secret Peanut Butter Story Box,10500,22,6,8100,75,FALSE,75
Open Secret White Choco Story Box,10500,22,6,8100,75,FALSE,75
The Bake Shop Whole Wheat Multigrain Lavash,7500,6,3,7000,100,FALSE,200
McVitie's Oat Cookies,4500,0,2,4500,120,FALSE,120
Britannia Tiger Krunch Biscuits,12000,0,4,12000,400,FALSE,400
McVitie's Butter Cookies,3000,10,6,2700,200,FALSE,200
Bauli Moonfils Strawberry,1500,0,5,1500,45,FALSE,45
Britannia Good Day Butter Cookies,8000,10,6,7200,600,FALSE,600
Parle Hide & Seek Choco Rolls,6000,0,1,6000,120,FALSE,120
The Bake Shop Jeera Ajwain Bread Sticks,6000,6,6,5600,100,FALSE,100
Parle Fab!o Vanilla Creme Sandwich Biscuit,3000,3,6,2900,120,FALSE,120
Sunfeast Farmlite Nuts Digestive,7000,11,6,6200,250,FALSE,250
Britannia Pure Magic - Chocolush,3500,2,6,3400,100,FALSE,100
The Bake Shop Maska & Multigrain Cheese Crackers,13000,10,3,11600,100,FALSE,150
Britannia Nutri Choice Ragi Cookies,7000,10,6,6300,150,FALSE,150
Sunfeast Farmlite 5 Seed Digestive,6000,0,2,6000,250,FALSE,250
Dukes Nibbles - Ranch Crackers,5000,0,6,5000,150,FALSE,150
Danish Butter Cookies,35000,0,1,35000,400,FALSE,400
The Bake Shop Sesame Seed Crackers,13000,10,4,11600,100,FALSE,150
Good Day Butter Cookies,1000,0,0,1000,75,TRUE,75
Britannia Marie Gold Biscuits Packet,3000,0,0,3000,250,TRUE,250
Britannia Good Day Cashew Cookies,2000,0,0,2000,100,TRUE,100
Sunfeast Dark Fantasy Choco Fills,3500,8,0,3200,75,TRUE,75
Britannia Nutri Choice Digestive Biscuits Packet,2500,0,0,2500,100,TRUE,100
Britannia Classic Little Hearts ,2500,0,0,2500,75,TRUE,75
