name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
Maggi 2 Minute Masala Noodles,1200,0,6,1200,70,FALSE,70
iD Idli & Dosa Batter ,8000,15,6,6800,1000,FALSE,1
Tata Salt,2400,0,6,2400,1000,FALSE,1
Arden Eggs White,9700,0,4,9700,696,FALSE,12
Arden Eggs White,6500,15,4,5500,348,FALSE,6
Fortune Sunlite Refined Sunflower (Pouch),23000,4,6,21900,1000,FALSE,1
Aashirvaad Superior MP Atta,25000,2,6,24500,5000,FALSE,5
Amul Pure Ghee (Pouch),25500,2,6,24900,500,FALSE,500
Arden Eggs Brown,8500,7,4,7900,348,FALSE,6
Tata Salt Lite,4000,10,6,3600,1000,FALSE,1
Saffola Gold Oil (Pouch),21500,0,6,21500,1000,FALSE,1
Fortune Sunlite Refined Sunflower (Jar),92500,0,6,92500,5000,FALSE,5
Fortune Rice Bran (Pouch),22500,11,6,19900,1000,FALSE,1
Saffola Active Oil,21000,0,6,21000,1000,FALSE,1
Amul Pure Ghee (Pouch),50500,1,2,49900,1000,FALSE,1
Aashirvaad Atta,46000,13,6,39900,10000,FALSE,10
Popular Essentials Toor Dal (Un-Polished),16000,6,4,14900,1000,FALSE,1
Amul Ghee (Tin),52000,2,6,50900,1000,FALSE,1
Amul Fresh Cream,19700,3,3,19100,1000,FALSE,1
Popular Essentials Pure Jaggery,5000,2,6,4900,450,FALSE,450
Aashirvaad Multigrain Atta,6400,3,2,6200,1000,FALSE,1
Fortune Soyabean Oil,100500,0,6,99900,5000,FALSE,5
Popular Essentials Sunflower Seeds,2500,0,6,2500,50,FALSE,50
Tata Sampann kabuli chana,18500,1,4,18300,1000,FALSE,500
Dhara Groundnut Oil (Pouch),23000,11,6,20300,1000,FALSE,1
Dhara Health Refined Sun Flower Oil Jar,120000,18,6,98400,5000,FALSE,5
24 Mantra Organic Jaggery Powder,8000,15,6,6800,500,FALSE,500
Tata Sampann High Protien Kabuli Chana,9400,0,1,9400,500,FALSE,500
Dhara Kachi Ghani Mustard Oil Jar,125000,8,6,114300,5000,FALSE,5
D'lecta Dairy Cream,5400,5,6,5100,200,FALSE,200
Ching's Secret Instant Hot Garlic Noodles,1500,0,3,1500,60,FALSE,60
Dabur Ginger Garlic Paste,2500,8,3,2300,100,FALSE,100
Ching's Secret Instant Schezwan Noodles,1500,0,6,1500,60,FALSE,60
Gowardhan Ghee/Tuppa Jar,31500,1,6,30900,500,FALSE,500
Tata Sampann Unpolished Moong Dal ,9200,4,4,8800,500,FALSE,500
Aashirvaad Select Atta,6400,0,6,6400,1000,FALSE,1
Popular Essentials Misri Dana (Diamond Sugar) ,1500,0,4,1500,100,FALSE,100
Gowardhan Ghee Jar,59800,3,6,57900,1000,FALSE,1
Top Ramen  Noodles Curry Veg Pouch,2000,0,1,2000,70,FALSE,70
Popular Essentials Refined Sugar,6000,0,6,6000,1000,FALSE,1
Fortune Kachi Ghani Mustard Oil Bottle,21600,7,6,19900,1000,FALSE,1
Saffola Veggie Twist Masala Oats,1500,0,6,1500,38,FALSE,38
Satyam Puffed Rice Kurmura (R),2300,0,6,2300,200,FALSE,200
Quaker Oats,7900,0,2,7900,400,FALSE,400
Aashirvaad Select Sharbati Atta,31500,10,6,28300,5000,FALSE,5
Popular Essentials Refined Sugar,29500,10,6,26500,5000,FALSE,5
Gowardhan Cow Ghee Pouch,57900,10,6,52100,1000,FALSE,1
Dhara Nourish Refined Sunflower Oil Pouch,21000,5,6,19900,1000,FALSE,1
Parachute Oil ,4000,7,3,3700,100,FALSE,100
Popular Essentials Plain Puffed Rice (Murmura/Muri),1800,0,6,1800,100,FALSE,100
Amul Mithai Mate Condensed Sweetened Milk,5600,3,4,5400,200,FALSE,200
Saffola Gold (Jar),124000,0,6,124000,5000,FALSE,5
McCain New Mini Samosa with Cheese Pizza Style Filling,12000,1,3,11800,240,FALSE,240
Fortune Rice Bran Health Oil (Jar),105000,1,6,103900,5000,FALSE,5
Arden Desi Eggs,11000,13,4,9500,348,FALSE,6
Fortune Rozana Basmati Rice,58500,21,6,46200,5000,FALSE,5
Fortune Biriyani Special Basmati Rice,17500,0,5,17500,1000,FALSE,1
Everest Garam Masala,7800,7,5,7200,100,FALSE,100
Popular Essentials Pumpkin Seeds,9000,16,6,7500,100,FALSE,100
Fortune Soya Health Refined Soybean Oil,21000,1,2,20600,1000,FALSE,1
Gowardhan Pure Ghee Pouch,29500,4,6,28100,500,FALSE,500
Popular Essentials Jeera/Cumin Seeds,4000,5,3,3800,100,FALSE,100
Weikfield Baking Soda,3000,3,6,2900,100,FALSE,100
Everest Pav Bhaji Masala,3700,10,4,3300,50,FALSE,50
Tata Sampann Unpolished Chana Dal,9500,6,2,8900,1000,FALSE,500
Amul Mithai Mate EOE Tin,11200,2,6,10900,400,FALSE,400
Pillsbury Chakki Fresh Atta,45000,16,6,37500,10000,FALSE,10
Everest Chicken Masala,3900,2,1,3800,50,FALSE,50
Dhara Life Refined Ricebran Oil (Pouch),20500,7,6,19000,1000,FALSE,1
Borges Extra Virgin Olive Oil,40000,25,1,29900,250,FALSE,250
Everest Shahi Biryani Masala,7000,14,6,6000,50,FALSE,50
Popular Essentials Californian Almond,35000,28,6,25100,250,FALSE,250
Popular Essentials Ajwain Whole,2500,0,4,2500,50,FALSE,50
