name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
Schweppes Soft Drink - Original Ginger Ale,5000,2,1,4900,300,FALSE,300
Coolberg Cranberry Non Alcoholic Beer ,7900,25,6,5900,330,FALSE,330
Schweppes Indian Tonic Water,5000,2,6,4900,300,FALSE,300
Coolberg Peach  Non Alcoholic Beer,7900,25,6,5900,330,FALSE,330
Pringles Sour Cream And Onion Potato Crisps,10900,5,3,10300,107,FALSE,110
Coolberg Malt Non Alcoholic Beer ,7900,25,6,5900,330,FALSE,330
Coolberg Strawberry Non Alcoholic Beer ,7900,25,6,5900,330,FALSE,330
Coolberg Mint Non Alcoholic Beer,7900,25,6,5900,330,FALSE,330
4700BC Gourmet Popcorn - Himalayan Salt Caramel,4900,2,6,4800,60,FALSE,60
Coolberg Ginger Non Alcoholic Beer ,7900,25,6,5900,330,FALSE,330
Pringles Original Potato Crisps,10900,5,6,10300,107,FALSE,110
Jimmy's Cocktails Mango Chilli Mojito,9900,5,6,9400,250,FALSE,250
4700BC Sour Cream & Wasabi Cheese Popcorn,3900,2,6,3800,35,FALSE,35
4700BC Microwave Popcorn - Cheese Bag,8000,10,2,7200,94,FALSE,94
4700BC Gourmet Popcorn - Sriracha Lime Cheese,3900,15,6,3300,35,FALSE,35
4700BC Microwave Popcorn - Butter,7500,9,6,6800,85,FALSE,85
The Whole Truth Double Cocoa Protein Bar No Sugar,10000,10,6,9000,52,FALSE,52
Yoga Bar Breakfast Protein Bar - Blueberry Pie,5000,12,1,4400,50,FALSE,50
The Whole Truth Mini Protein Bar - Coconut Cocoa No Added Sugar,5500,25,6,4100,27,FALSE,27
The Whole Truth Cranberry Mini Protein Bar No Sugar,5500,20,6,4400,27,FALSE,27
The Whole Truth Mini Protein Bar - Coffee Cocoa No Added Sugar,5500,20,6,4400,27,FALSE,27
4700BC Microwave Popcorn - BBQ Bag,8000,15,6,6800,92,FALSE,92
The Whole Truth Peanut Cocoa Mini Protein Bar No Sugar ,5500,25,6,4100,27,FALSE,27
Kettle Studio Rock Sea Salt & English Vinegar ,9900,20,6,7900,125,FALSE,125
Yoga Bar Multigrain Energy Bar Nuts And Seeds,4000,12,4,3500,38,FALSE,38
The Whole Truth Double Cocoa Mini Protein Bar No Sugar,5500,20,5,4400,27,FALSE,27
24 Mantra Flax Seed,6500,7,6,6000,200,FALSE,200
4700BC Himalayan Salt Caramel Popcorn,17500,14,6,14900,125,FALSE,125
The Whole Truth Vegan Almond Choco Fudge Energy Bar No Sugar,6000,20,6,4800,40,FALSE,40
The Whole Truth Cranberry Protein Bar No Sugar,10000,26,6,7400,52,FALSE,52
The Whole Truth Mini Protein Bar - Peanut Butter No Added Sugar,5500,25,6,4100,27,FALSE,27
4700BC Microwave Popcorn Natural,7500,13,6,6500,85,FALSE,85
Popular Essentials Flax Seeds,2500,0,6,2500,100,FALSE,100
The Whole Truth Energy Bar Choco Cranberry Fudge,6000,26,6,4400,40,FALSE,40
4700BC Gourmet Popcorn Himalayan Salt Caramel,9900,15,6,8400,125,FALSE,150
The Whole Truth Peanut Cocoa Protein Bar No Sugar,10000,26,6,7400,52,FALSE,52
Yogabar No Added Sugar Protein Bar Brownie,12500,15,4,10600,60,FALSE,60
The Whole Truth Vegan Fig Apricot & Orange Energy Bar No Sugar,6000,20,6,4800,40,FALSE,40
Svami Non Alcoholic Gin & Tonic Water,9500,0,6,9500,200,FALSE,200
&Stirred Margarita - Lemon & Lime,5000,30,6,3500,125,FALSE,125
The Whole Truth Vegan Mocha Almond Fudge Energy Bar No Sugar,6000,20,6,4800,40,FALSE,40
Tong Garden Salted Pumpkins,5000,2,6,4900,30,FALSE,30
Popular Essentials Dry Dates (Kharak),14000,15,6,11800,250,FALSE,250
&Stirred Cosmopolitan - Cranberry & Orange,5000,30,6,3500,125,FALSE,125
Sleepy Owl Original Hot Brew Bags - Set of 10,30000,11,6,26700,580,FALSE,10
&Stirred Mojito - Lemon & Mint,5000,30,0,3500,125,TRUE,125
