name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
Epigamia Fruit Yogurt Alphonso Mango,4000,50,6,2000,75,FALSE,75
Epigamia Fruit Yogurt Vanilla,4000,50,6,2000,75,FALSE,75
Nestle A+ Actiplus Probiotic Dahi Plain Curd,7800,3,5,7500,400,FALSE,400
Dettol Original Germ Protection Alcohol Based Hand Sanitizer,2500,0,6,2500,50,FALSE,50
Dettol Antiseptic Disinfectant Liquid,6600,0,6,6600,125,FALSE,125
Durex Air Ultra Thin Condoms,8200,0,6,8200,174,FALSE,3
Durex Air Ultra Thin Condom,24500,10,6,22000,580,FALSE,10
Dabur Regular Hajmola,4500,6,6,4200,120,FALSE,120
Hajmola Anardana Digestive Tablets,4500,6,2,4200,120,FALSE,180
Zandu Balm,4000,10,4,3600,8,FALSE,8
Vicks Cough Drops Menthol,2000,0,6,2000,1160,FALSE,20
Durex Extra Time Condoms,22800,10,6,20500,580,FALSE,10
Vicks Vaporub,8500,9,6,7700,25,FALSE,25
Dettol Antiseptic Liquid,3300,0,4,3300,60,FALSE,60
Veet Sensitive Skin Hair Removal Cream,13500,5,6,12800,50,FALSE,50
Vicks VapoRub,14500,11,2,12900,50,FALSE,50
Dabur Hajmola Imli Digestive Tablets,4500,6,6,4200,120,FALSE,120
Dettol Antiseptic Liquid + Disinfectant Spray - Original,15900,10,6,14300,225,FALSE,225
Iodex Body Pain Expert ,4000,2,6,3900,8,FALSE,8
Patanjali Hing Goli,6500,10,4,5800,100,FALSE,100
Moov Fast Pain Relief Cream,18900,15,6,16000,50,FALSE,50
Dettol Hand Sanitizer,10000,5,6,9500,200,FALSE,200
Whisper Ultra Soft XL+ Sanitary Pads,33000,2,6,32300,30,FALSE,30
Whisper Choice Regular Wing Sanitary Pad,3000,0,2,3000,406,FALSE,7
Savlon Surface Disinfectant Spray,16500,10,6,14800,170,FALSE,170
Durex Extra Thin Condoms,22800,10,6,20500,580,FALSE,10
Stayfree Secure Dry Cover Regular Sanitary Pad With Wings,3000,3,6,2900,406,FALSE,7
Eno Fruit Salt Lemon Flavour Energy Powder,13000,10,6,11700,100,FALSE,100
Moov Pain Relief Specialist Spray,14900,5,5,14100,35,FALSE,35
Savlon Germ Protection Wipes,18900,10,6,17000,72,FALSE,72
Veet Hair Removal Cream Dry Skin,13500,5,5,12800,50,FALSE,50
Whisper Ultra Soft Air Fresh Sanitary Pads (XL) with Wings,31500,0,4,31500,30,FALSE,30
Whisper Choice Regular Sanitary Pads,9000,0,6,9000,1160,FALSE,20
Whisper Ultra Clean Wings XL+  Pouch,44900,7,6,41500,44,FALSE,44
Durex Extra Ribbed Condoms,24500,10,2,22000,580,FALSE,10
Eno Regular Fruit Salt Energy Powder,13000,0,6,13000,100,FALSE,100
Durex Extra Thin Bubblegum Condom,15000,10,6,13500,580,FALSE,10
Dabur Hajmola Pudina - Digestive Tablets,4500,6,6,4200,120,FALSE,120
Baidyanath Isabgol,11000,22,3,8500,100,FALSE,100
Kapiva Thar Aloe Vera Juice,29900,15,6,25400,1000,FALSE,1
Fine Life Cotton Balls,11000,10,6,9900,100,FALSE,100
Stayfree Dry Max All Night XL Dry Cover Sanitary Pads,34000,12,6,29800,28,FALSE,28
Moov Pain Releiver Spray,29000,15,6,24600,80,FALSE,80
Whisper Ultra Clean XL Plus Sanitary Pad,17500,0,5,17500,870,FALSE,15
Durex Condoms Mutual Climax,12000,0,6,12000,174,FALSE,3
Durex Extra Dots Condoms,22800,10,6,20500,580,FALSE,10
Zandu Balm Ulter Power For Strong Headache Bodyache & Cold,4500,8,6,4100,8,FALSE,8
Dabur Hajmola Maha Candy - Aam+Imli,13000,5,1,12300,130,FALSE,130
Whisper Choice Ultra XL Sanitary Pad,13300,2,5,13000,1160,FALSE,20
Veet Full Body Waxing Kit For Dry Skin,23500,7,6,21800,1160,FALSE,20
Dabur Chyawanprakash - Sugar Free,41500,7,6,38500,900,FALSE,900
Zandu Balm,8500,10,5,7600,25,FALSE,25
Himalaya Cold Balm,12500,9,6,11300,45,FALSE,45
Dettol Clinical Strength Hand Sanitizer Liquid,25000,10,6,22500,500,FALSE,500
Kapiva Wild Amla Juice,24900,14,6,21200,1000,FALSE,1
Dabur Chyawanprash,34900,3,6,33800,950,FALSE,1
Amrutanjan Pain Balm Extra Power,10000,11,6,8900,28,FALSE,27
Stayfree Dry-Max All Night Ultra-Dry Sanitary Pad,9000,10,6,8100,406,FALSE,7
Whisper Ultra Clean XL Plus Sanitary Pad,15500,0,6,15500,870,FALSE,15
Durex Mutual Climax Condoms,36000,15,6,30600,580,FALSE,10
Whisper Daily Liners Clean and Fresh,10500,0,4,10500,1160,FALSE,20
Moov Cream Regular,5000,6,4,4700,10,FALSE,10
Moov Pain Relief Specialist,7500,5,6,7100,15,FALSE,15
Dabur Chyawanprakash Sugar Free,23500,5,6,22300,500,FALSE,500
Baidyanath Isabgol,11000,22,5,8500,100,FALSE,100
Veet Hair Removal Cream (Normal Skin),13500,5,6,12800,50,FALSE,50
Stayfree Advanced XL Ultra Comfort Sanitary napkins with Wings,17500,0,3,17500,812,FALSE,14
Savlon Clothes Disinfectant & Refreshing Spray Fresh Breeze,17500,10,6,15700,230,FALSE,230
Dabur Chyawanprash Immunity Booster,19000,6,6,17700,500,FALSE,500
Vicks Inhaler with Keychain,10500,9,4,9500,116,FALSE,2
Stayfree Secure XL Size Sanitary Napkins,11500,0,5,11500,1160,FALSE,20
Dabur Ayurvedic Tulsi Drops (Immunity Booster),19500,6,6,18200,30,FALSE,30
Organic India Wheat Grass,39500,20,4,31600,100,FALSE,100
Organic India Organic Chyawanprash,49500,20,6,39600,500,FALSE,500
Organic India Sugar Balance 60 Capsules Bottle,22500,0,6,22500,60,FALSE,60
Whisper Ultra Soft XL+ Sanitary Pads,55500,0,1,55500,60,FALSE,60
Dabur - Chyawanprash,9900,0,1,9900,250,FALSE,25
Vicks BabyRub,10500,11,6,9300,25,FALSE,25
Bombay Shaving Company Sensitive Cartridges,37500,0,2,37500,116,FALSE,2
Organic India Brahmi Bottle,20500,20,1,16400,60,FALSE,60
Horlicks Protein Plus Chocolate,27000,0,2,27000,200,FALSE,200
Dabur Nature Care Isabgol - Double Action,14000,5,6,13300,100,FALSE,100
Kapiva Wild Tulsi Giloy Juice |,40000,15,1,34000,1000,FALSE,1
Dabur Amla Juice,23500,15,6,19900,1000,FALSE,1
Epigamia Fruit Yogurt Strawberry,4000,50,0,2000,75,TRUE,75
Dettol Effective Protection Antiseptic Liquid,11600,0,0,11600,250,TRUE,250
Stayfree Secure Cottony Soft Cover Sanitary Pad (Regular) with Wings,3000,3,0,2900,406,TRUE,7
"Eno Cooling Sachets - Cool Mint, 6 Pieces Carton",5400,11,0,4800,5,TRUE,5
Whisper Choice Sanitary Pad ,3200,9,0,2900,406,TRUE,7
Whisper Bindazzz Nights XL + Sanitary Pad,9000,0,0,9000,406,TRUE,7
Gillette Venus Close & Clean Razor ,24900,7,0,23000,58,TRUE,1
Whisper Choice Regular Sanitary Pads,9000,3,0,8700,58,TRUE,20
Stayfree Secure Dry Cover Extra Large Sanitary Pad,4200,2,0,4100,406,TRUE,7
Dabur Honitus Herbal Cough Remedy Ayurvedic Syrup,10500,15,0,8900,100,TRUE,100
Whisper Bindazzz Night Sanitary Pads XL Plus,18500,0,0,18500,870,TRUE,15
Fine Life Cotton Balls,6000,0,0,6000,50,TRUE,50
Dettol Antiseptic Liquid,3000,0,0,3000,60,TRUE,60
