name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
Clove Sensitive Toothpaste with Anti-Sensitivity & Fluoride Formulation,16000,35,3,10400,80,FALSE,80
Dettol Original Germ Protection Alcohol Based Hand Sanitizer,2500,0,6,2500,50,FALSE,50
Colgate Visible White Toothpaste,11500,10,6,10300,100,FALSE,100
Dettol SKincare Handwash Value Refill,10900,3,6,10500,750,FALSE,750
Savlon Herbal Sensitive Liquid Handwash Refill Pouch,11500,4,6,11000,750,FALSE,500
Colgate Total 12 Whole Mouth Protection Toothpaste,12000,10,6,10800,120,FALSE,120
Lux International Creamy White Soap Bar,3500,2,6,3400,75,FALSE,75
Colgate Herbal Toothpaste,11400,18,2,9300,200,FALSE,200
Nivea Men Deodorant Fresh Active 48h Long lasting Freshness,22500,24,6,16900,150,FALSE,150
Dabur Meswak Toothpaste,5800,5,6,5500,100,FALSE,100
Colgate Max Fresh Cooling Crystals Toothpaste,10100,5,2,9500,150,FALSE,150
Indulekha Bhringa Hair Oil,43200,15,6,36700,100,FALSE,100
Colgate Sensitive Soft Bristles Toothbrush,5000,0,6,5000,58,FALSE,1
Pears Pure & Gentle Glycerin Bath Soap,7500,0,6,7500,125,FALSE,125
Vaseline Skin Protecting Jelly,7900,13,6,6800,50,FALSE,50
Dettol Original Germ Protection Bathing Soap Bar,16600,5,4,15700,375,FALSE,375
Dettol Intense Cool Soap (B4G1),26000,5,6,24700,625,FALSE,625
Livon Anti-Frizz Serum,25000,10,3,22500,100,FALSE,100
Lifebuoy Germ Protection Care Soap Bar,3000,3,3,2900,100,FALSE,125
Lux International Creamy White Soap Bar,7000,10,6,6300,125,FALSE,125
Godrej Nupur – 100% Pure Henna (Mehendi),1000,0,6,1000,18,FALSE,18
Glow & Lovely Advanced Multivitamin Face Cream,21300,10,6,19000,110,FALSE,110
Set Wet Style Vertical Hold Hair Gel,5000,10,4,4500,50,FALSE,50
"Godrej Expert Rich Crème, Natural Black",3000,0,6,3000,20,FALSE,20
Nycil Germ Expert Cool Herbal Talc,13000,8,1,11900,150,FALSE,200
Godrej Expert Creme Hair Natural Brown Colour ,3000,0,6,3000,20,FALSE,20
Veet Sensitive Skin Hair Removal Cream,13500,5,6,12800,50,FALSE,50
Closeup Everfresh+ Anti-Germ Gel Toothpaste Red Hot,5000,2,1,4900,80,FALSE,80
Pears Pure And Gentle Value Pack Of 3 Bathing Soap,19900,6,5,18600,375,FALSE,375
Gillette Presto Ready Shaver 5 Cartridges ,8800,6,6,8200,290,FALSE,5
Closeup Everfresh+ Anti-Germ Gel Toothpaste Red Hot,16000,10,4,14400,300,FALSE,300
"Godrej Expert Rich Crème, Dark Brown",3000,0,4,3000,20,FALSE,20
Nivea Soft Light Moisturizer for Face Hand & Body Non-Sticky Cream with Vitamin E & Jojoba Oil ,18500,15,3,15700,100,FALSE,100
Fiama Gel Bar Celebration Pack Buy 4 Get 1 Free,29000,10,6,26100,625,FALSE,625
Gillette Sensitive Shaving Foam,22500,6,4,21000,418,FALSE,418
Dove Hair Fall Rescue Shampoo,15000,6,5,14100,180,FALSE,180
Gillette Mach 3 Mens Razor Blades,49900,7,4,46000,232,FALSE,4
Palmolive Aroma Absolute Relax Shower Gel,19900,20,2,15900,250,FALSE,250
Godrej Protekt Germ Fighter Handwash,9900,0,6,9900,750,FALSE,750
Dettol Hand Sanitizer,10000,5,6,9500,200,FALSE,200
Dabur Amla Hair Oil,8800,0,2,8800,180,FALSE,180
Dettol Original Liquid Handwash,8900,4,6,8500,200,FALSE,200
L'Oreal Paris Total Repair 5 Conditioner,19900,0,6,19900,192,FALSE,180
Patanjali Saundarya Aloe Vera Gel,9000,0,5,9000,150,FALSE,150
Head & Shoulders 2 In 1 Anti Dandruff Shampoo Conditioner ,19500,10,4,17400,180,FALSE,180
Clean & Clear Pimple Clearing Face Wash,13000,10,2,11700,80,FALSE,80
Himalaya Anti Dandruff Shampoo,14000,8,2,12800,200,FALSE,200
Stayfree Secure Dry Cover Regular Sanitary Pad With Wings,3000,3,6,2900,406,FALSE,7
Savlon Moisture Shield Hand Wash,9900,4,6,9500,750,FALSE,750
Dove Intense Repair Conditioner,19000,14,6,16200,175,FALSE,80
Dabur Gulabari Rose Glow Face Cleanse,7500,5,4,7100,100,FALSE,100
Parachute Jasmine Hair Oil,8200,9,6,7400,190,FALSE,190
Johnson's Baby Skincare Wipes,7900,6,6,7400,1160,FALSE,20
Dettol Skincare Liquid Hand Wash,7900,0,6,7900,200,FALSE,200
