name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
Maggi 2 Minute Masala Noodles,1200,0,6,1200,70,FALSE,70
iD Idli & Dosa Batter ,8000,15,6,6800,1000,FALSE,1
iD Malabar Parota ,8000,10,4,7200,400,FALSE,400
iD Wheat Lachha Paratha,8000,12,6,7000,400,FALSE,400
McCain Aloo Tikki,11000,4,6,10500,400,FALSE,400
McCain Smiles Cripsy Happy Potatoes,12000,5,6,11400,415,FALSE,415
McCain Veggie Burger Patty,11500,3,6,11100,360,FALSE,360
McCain Veggie Fingers,11700,5,6,11100,400,FALSE,400
Amul Delicious Fat Spread - Cholesterol Free,1800,5,6,1700,100,FALSE,100
Whiskas Wet  Meal (Adult - Cat Food)  Chicken in Gravy,3500,2,2,3400,85,FALSE,85
McCain Chilli Garlic Potato Bites Crunchy Potato Nuggets,12500,5,1,11800,420,FALSE,420
Ching's Secret Instant Hot Garlic Noodles,1500,0,3,1500,60,FALSE,60
Veeba Eggless Mayonnaise,7900,11,5,7000,250,FALSE,250
Ching's Secret Instant Schezwan Noodles,1500,0,6,1500,60,FALSE,60
Veeba Pasta And Pizza Sauce,7500,13,5,6500,280,FALSE,280
Top Ramen  Noodles Curry Veg Pouch,2000,0,1,2000,70,FALSE,70
Saffola Veggie Twist Masala Oats,1500,0,6,1500,38,FALSE,38
Unibic Almond & Oats Protein Bar,4000,17,4,3300,30,FALSE,30
Quaker Oats,7900,0,2,7900,400,FALSE,400
Amul Delicious Fat Spread - Cholesterol Free,8800,2,2,8600,500,FALSE,500
McCain French Fries,12000,5,1,11400,420,FALSE,420
Ching's Secret Manchow Instant Soup,1000,0,1,1000,15,FALSE,15
McCain Potato Cheese Shotz,13000,4,6,12400,250,FALSE,250
McCain Masala - Fries,12000,5,3,11400,375,FALSE,375
Ching's Secret Schezwan Fried Rice Masala,1500,0,6,1500,20,FALSE,20
McCain New Mini Samosa with Cheese Pizza Style Filling,12000,1,3,11800,240,FALSE,240
McCain Chilli Cheesy Nuggets,13000,4,1,12400,250,FALSE,250
"Whiskas Adult (+1 Year) Dry Cat Food, Ocean Fish Flavour",43000,10,6,38700,1200,FALSE,1
Chings Instant Soup - Hot & Sour,1000,0,1,1000,15,FALSE,15
Amul Spray Infant Milk Food,19700,2,6,19300,500,FALSE,500
McCain Smiles - Pudina Chatka,12000,5,3,11400,375,FALSE,375
McCain French Fries Crisp & Delicious,17500,4,3,16700,750,FALSE,750
Ferrero Nutella Hazelnut Spread,22000,5,2,20700,180,FALSE,180
Lijjat Garlic Papad,6000,5,5,5700,200,FALSE,200
Switz Samosa Dough Sheets,9000,4,6,8600,50,FALSE,50
Amul Cheese Spread Creamy,8500,5,6,8000,180,FALSE,180
Maggi Imli Sauce Pichkoo,2200,0,6,2200,90,FALSE,90
Whiskas Kitten (2-12 months) Dry Cat Food Food Ocean Fish,38500,9,5,34700,1100,FALSE,1100
Chings Instant Soup - Sweet Corn Veg,1000,0,2,1000,15,FALSE,15
Whiskas Wet  Meal (Kitten - Cat Food)  Chicken in Gravy,3500,5,2,3300,85,FALSE,85
McCain Crazy Fries Masala MixHot 'n' Tangy,12000,5,6,11400,400,FALSE,400
The Whole Truth Double Cocoa Protein Bar No Sugar,10000,10,6,9000,52,FALSE,52
Amul Happy Treats French Fries,6800,4,1,6500,425,FALSE,425
Ferrero Nutella Hazeulnut Spread,38000,6,5,35700,350,FALSE,350
Veeba Chipolte Southwest Dressing,16100,7,4,14900,300,FALSE,300
Ching's Secret Manchow Noodles Instant Soup,1500,0,6,1500,20,FALSE,20
Yoga Bar Breakfast Protein Bar - Blueberry Pie,5000,12,1,4400,50,FALSE,50
Quaker Oats,19900,7,6,18400,1000,FALSE,1
The Whole Truth Mini Protein Bar - Coconut Cocoa No Added Sugar,5500,25,6,4100,27,FALSE,27
Switz Spring Roll Dough Sheets,9000,4,6,8600,1160,FALSE,20
Unibic Fruit & Nut Real Cranberries & Almonds Protein Bar,4000,17,6,3300,30,FALSE,30
Ching's Secret Tomato Instant Soup,1000,0,1,1000,16,FALSE,15
Chef's Basket Durum Wheat Elbow Pasta,16000,50,6,8000,500,FALSE,500
Sunfeast Yippee! Mood Masala Noodles,6000,28,3,4300,260,FALSE,260
MTR Breakfast Khatta Meetha Poha Mix,2500,20,6,2000,60,FALSE,60
Kellogg's Crunchy Fruit & Nut Breakfast Cereals Muesli,44500,9,6,40100,750,FALSE,750
Ching's Secret Chilli Vinegar,5000,0,4,5000,170,FALSE,170
Ching's Red Chilli Sauce,5500,0,6,5500,200,FALSE,200
Amul Lite Spread,4000,2,5,3900,100,FALSE,100
Borges Durum Wheat Fusilli Pasta ,25000,0,3,25000,500,FALSE,500
The Whole Truth Cranberry Mini Protein Bar No Sugar,5500,20,6,4400,27,FALSE,27
The Whole Truth Mini Protein Bar - Coffee Cocoa No Added Sugar,5500,20,6,4400,27,FALSE,27
Maggi Hot & Sweet Tomato Chilli Sauce,11500,0,1,11500,500,FALSE,500
Sunfeast YiPPee! Noodles - Magic Masala,9600,5,4,9100,540,FALSE,540
Chef's Basket Durum Wheat Fusilli Pasta,16000,50,6,8000,500,FALSE,500
Top Ramen Chicken Noodles,6000,10,1,5400,280,FALSE,280
Veeba Cheese and Chilli Sandwich Spread,8900,11,6,7900,275,FALSE,275
